,training_loss,testing_loss
944,0.32270417,0.34292102
945,0.3227102,0.34291902
946,0.32270563,0.34291127
947,0.3226866,0.34290197
948,0.32268584,0.34289658
949,0.32265815,0.34288743
950,0.32266927,0.3428819
951,0.3226674,0.3428797
952,0.32267237,0.34286752
953,0.32265222,0.34286517
954,0.32267871,0.34285304
955,0.3226726,0.34284866
956,0.32268196,0.3428448
957,0.32264674,0.34283808
958,0.3226313,0.3428308
959,0.32264405,0.3428253
960,0.32266355,0.34282002
961,0.3226456,0.34281328
962,0.32267326,0.34280628
963,0.32265234,0.34280387
964,0.32262862,0.34279323
965,0.32262805,0.34279132
966,0.32264397,0.3427849
967,0.32263055,0.34277728
968,0.3226431,0.3427765
969,0.32263,0.34276024
970,0.32259655,0.3427652
971,0.32261315,0.3427532
972,0.32258445,0.34275118
973,0.32262653,0.34273914
974,0.32261136,0.34273583
975,0.32259783,0.3427247
976,0.32261395,0.34272814
977,0.3225825,0.34271908
978,0.32257763,0.34271586
979,0.32259458,0.3427115
980,0.32255703,0.34270015
981,0.32256696,0.34269145
982,0.32256585,0.34268934
983,0.3225677,0.3426836
984,0.32256833,0.34267834
985,0.3225483,0.34267136
986,0.32254705,0.34266463
987,0.3225326,0.3426587
988,0.32253483,0.34265226
989,0.32252538,0.34264725
990,0.32254267,0.34264243
991,0.3225374,0.34264308
992,0.32251123,0.34262785
993,0.3225256,0.34262317
994,0.32252243,0.34261942
995,0.32248753,0.342613
996,0.32254782,0.34261206
997,0.32248878,0.34260672
