Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 7.85714e-07, 0.628571, 0.314286, 1, 1.56517e-06, -0.00010007
5, 7.85714e-07, 0.628571, 0.371429, 0, 1.53474e-06, 0.286475
5, 7.85714e-07, 0.628571, 0.371429, 1, 1.58084e-06, -7.39805e-05
5, 7.85714e-07, 0.628571, 0.428571, 0, 1.54223e-06, 0.321955
5, 7.85714e-07, 0.628571, 0.428571, 1, 1.51413e-06, -5.38993e-05
5, 7.85714e-07, 0.628571, 0.485714, 0, 1.54828e-06, 0.357786
5, 7.85714e-07, 0.628571, 0.485714, 1, 1.62644e-06, -4.5063e-05
5, 7.85714e-07, 0.628571, 0.542857, 0, 1.55438e-06, 0.391451
5, 7.85714e-07, 0.628571, 0.542857, 1, 1.42915e-06, -3.85483e-05
5, 7.85714e-07, 0.628571, 0.6, 0, 1.56053e-06, 0.419909
5, 7.85714e-07, 0.628571, 0.6, 1, 1.43957e-06, -2.95717e-05
